id,asset_type,theme,visual_prompt,copy_overlay,recommended_size,production_notes
VIS-096,LinkedIn document slide,Truck roll leakage,"Service truck photo with copper overlay showing wasted roll, lost slot, margin hit. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Find the leak before busy season does.,1200x628 landscape,Keep safe-zone clear for Reels
VIS-097,Story frame,Missed call math,"Show a copper phone icon, three missed-call rows, and a bottom line: calls do not wait for Monday. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Stronger Operations. Stronger Profits.,1080x1080 square,Use TF monogram bottom-right
VIS-098,Retargeting ad visual,First-call-recorded checklist,"Four checkboxes: routed, recorded, reviewed, booked. Use the TF monogram as a stamped approval mark. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Calls routed. Calls recorded. Calls reviewed.,1080x1350 portrait,Use wordmark top-left
VIS-099,YouTube thumbnail,Dispatch leak diagram,"Simple flow from call to dispatch to invoice with a copper break point labeled leak. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",The dispatch room protects the P&L.,1080x1920 vertical,Keep headline under seven words
VIS-100,Email header graphic,Owner bottleneck,"Owner silhouette at center with every arrow pointing to him; second frame shows rules and routing distributed. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Do not let voicemail make dispatch decisions.,1200x628 landscape,Add subtle copper rule
VIS-101,Static quote card,Emergency rules board,"No-heat, no-cool, warranty, VIP, after-hours shown as shop-board cards. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Built for HVAC owners scaling toward the next chapter.,1080x1080 square,Use real shop B-roll
VIS-102,Carousel,Recap diligence lens,"Dark table with diligence checklist: callbacks, AR, dispatch, owner dependency. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Find the leak before busy season does.,1080x1350 portrait,Keep safe-zone clear for Reels
VIS-103,Reel/TikTok/Shorts,Rooftop operator proof,"Rooftop HVAC image with headline: stronger operations are built in the heat. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Stronger Operations. Stronger Profits.,1080x1920 vertical,Use TF monogram bottom-right
VIS-104,Founder POV video,24-hour review,"Clock graphic plus call recording waveform and dispatch note. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Calls routed. Calls recorded. Calls reviewed.,1200x628 landscape,Use wordmark top-left
VIS-105,Google Business Profile image,Callback cost stack,"Stacked blocks: truck roll, tech time, customer trust, schedule capacity, margin. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",The dispatch room protects the P&L.,1080x1080 square,Keep headline under seven words
VIS-106,LinkedIn document slide,Frontline layer,"ThermaForge wordmark on top, Frontline routing layer below, call log feeding review notes. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Do not let voicemail make dispatch decisions.,1080x1350 portrait,Add subtle copper rule
VIS-107,Story frame,Weekly review board,"Operations board with columns: calls, booked jobs, callbacks, AR, open escalations. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Built for HVAC owners scaling toward the next chapter.,1080x1920 vertical,Use real shop B-roll
VIS-108,Retargeting ad visual,Truck roll leakage,"Service truck photo with copper overlay showing wasted roll, lost slot, margin hit. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Find the leak before busy season does.,1200x628 landscape,Keep safe-zone clear for Reels
VIS-109,YouTube thumbnail,Missed call math,"Show a copper phone icon, three missed-call rows, and a bottom line: calls do not wait for Monday. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Stronger Operations. Stronger Profits.,1080x1080 square,Use TF monogram bottom-right
VIS-110,Email header graphic,First-call-recorded checklist,"Four checkboxes: routed, recorded, reviewed, booked. Use the TF monogram as a stamped approval mark. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Calls routed. Calls recorded. Calls reviewed.,1080x1350 portrait,Use wordmark top-left
VIS-111,Static quote card,Dispatch leak diagram,"Simple flow from call to dispatch to invoice with a copper break point labeled leak. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",The dispatch room protects the P&L.,1080x1920 vertical,Keep headline under seven words
VIS-112,Carousel,Owner bottleneck,"Owner silhouette at center with every arrow pointing to him; second frame shows rules and routing distributed. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Do not let voicemail make dispatch decisions.,1200x628 landscape,Add subtle copper rule
VIS-113,Reel/TikTok/Shorts,Emergency rules board,"No-heat, no-cool, warranty, VIP, after-hours shown as shop-board cards. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Built for HVAC owners scaling toward the next chapter.,1080x1080 square,Use real shop B-roll
VIS-114,Founder POV video,Recap diligence lens,"Dark table with diligence checklist: callbacks, AR, dispatch, owner dependency. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Find the leak before busy season does.,1080x1350 portrait,Keep safe-zone clear for Reels
VIS-115,Google Business Profile image,Rooftop operator proof,"Rooftop HVAC image with headline: stronger operations are built in the heat. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Stronger Operations. Stronger Profits.,1080x1920 vertical,Use TF monogram bottom-right
VIS-116,LinkedIn document slide,24-hour review,"Clock graphic plus call recording waveform and dispatch note. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Calls routed. Calls recorded. Calls reviewed.,1200x628 landscape,Use wordmark top-left
VIS-117,Story frame,Callback cost stack,"Stacked blocks: truck roll, tech time, customer trust, schedule capacity, margin. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",The dispatch room protects the P&L.,1080x1080 square,Keep headline under seven words
VIS-118,Retargeting ad visual,Frontline layer,"ThermaForge wordmark on top, Frontline routing layer below, call log feeding review notes. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Do not let voicemail make dispatch decisions.,1080x1350 portrait,Add subtle copper rule
VIS-119,YouTube thumbnail,Weekly review board,"Operations board with columns: calls, booked jobs, callbacks, AR, open escalations. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Built for HVAC owners scaling toward the next chapter.,1080x1920 vertical,Use real shop B-roll
VIS-120,Email header graphic,Truck roll leakage,"Service truck photo with copper overlay showing wasted roll, lost slot, margin hit. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Find the leak before busy season does.,1200x628 landscape,Keep safe-zone clear for Reels
VIS-121,Static quote card,Missed call math,"Show a copper phone icon, three missed-call rows, and a bottom line: calls do not wait for Monday. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Stronger Operations. Stronger Profits.,1080x1080 square,Use TF monogram bottom-right
VIS-122,Carousel,First-call-recorded checklist,"Four checkboxes: routed, recorded, reviewed, booked. Use the TF monogram as a stamped approval mark. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Calls routed. Calls recorded. Calls reviewed.,1080x1350 portrait,Use wordmark top-left
VIS-123,Reel/TikTok/Shorts,Dispatch leak diagram,"Simple flow from call to dispatch to invoice with a copper break point labeled leak. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",The dispatch room protects the P&L.,1080x1920 vertical,Keep headline under seven words
VIS-124,Founder POV video,Owner bottleneck,"Owner silhouette at center with every arrow pointing to him; second frame shows rules and routing distributed. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Do not let voicemail make dispatch decisions.,1200x628 landscape,Add subtle copper rule
VIS-125,Google Business Profile image,Emergency rules board,"No-heat, no-cool, warranty, VIP, after-hours shown as shop-board cards. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Built for HVAC owners scaling toward the next chapter.,1080x1080 square,Use real shop B-roll
VIS-126,LinkedIn document slide,Recap diligence lens,"Dark table with diligence checklist: callbacks, AR, dispatch, owner dependency. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Find the leak before busy season does.,1080x1350 portrait,Keep safe-zone clear for Reels
VIS-127,Story frame,Rooftop operator proof,"Rooftop HVAC image with headline: stronger operations are built in the heat. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Stronger Operations. Stronger Profits.,1080x1920 vertical,Use TF monogram bottom-right
VIS-128,Retargeting ad visual,24-hour review,"Clock graphic plus call recording waveform and dispatch note. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Calls routed. Calls recorded. Calls reviewed.,1200x628 landscape,Use wordmark top-left
VIS-129,YouTube thumbnail,Callback cost stack,"Stacked blocks: truck roll, tech time, customer trust, schedule capacity, margin. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",The dispatch room protects the P&L.,1080x1080 square,Keep headline under seven words
VIS-130,Email header graphic,Frontline layer,"ThermaForge wordmark on top, Frontline routing layer below, call log feeding review notes. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Do not let voicemail make dispatch decisions.,1080x1350 portrait,Add subtle copper rule
VIS-131,Static quote card,Weekly review board,"Operations board with columns: calls, booked jobs, callbacks, AR, open escalations. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Built for HVAC owners scaling toward the next chapter.,1080x1920 vertical,Use real shop B-roll
VIS-132,Carousel,Truck roll leakage,"Service truck photo with copper overlay showing wasted roll, lost slot, margin hit. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Find the leak before busy season does.,1200x628 landscape,Keep safe-zone clear for Reels
VIS-133,Reel/TikTok/Shorts,Missed call math,"Show a copper phone icon, three missed-call rows, and a bottom line: calls do not wait for Monday. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Stronger Operations. Stronger Profits.,1080x1080 square,Use TF monogram bottom-right
VIS-134,Founder POV video,First-call-recorded checklist,"Four checkboxes: routed, recorded, reviewed, booked. Use the TF monogram as a stamped approval mark. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Calls routed. Calls recorded. Calls reviewed.,1080x1350 portrait,Use wordmark top-left
VIS-135,Google Business Profile image,Dispatch leak diagram,"Simple flow from call to dispatch to invoice with a copper break point labeled leak. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",The dispatch room protects the P&L.,1080x1920 vertical,Keep headline under seven words
VIS-136,LinkedIn document slide,Owner bottleneck,"Owner silhouette at center with every arrow pointing to him; second frame shows rules and routing distributed. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Do not let voicemail make dispatch decisions.,1200x628 landscape,Add subtle copper rule
VIS-137,Story frame,Emergency rules board,"No-heat, no-cool, warranty, VIP, after-hours shown as shop-board cards. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Built for HVAC owners scaling toward the next chapter.,1080x1080 square,Use real shop B-roll
VIS-138,Retargeting ad visual,Recap diligence lens,"Dark table with diligence checklist: callbacks, AR, dispatch, owner dependency. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Find the leak before busy season does.,1080x1350 portrait,Keep safe-zone clear for Reels
VIS-139,YouTube thumbnail,Rooftop operator proof,"Rooftop HVAC image with headline: stronger operations are built in the heat. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Stronger Operations. Stronger Profits.,1080x1920 vertical,Use TF monogram bottom-right
VIS-140,Email header graphic,24-hour review,"Clock graphic plus call recording waveform and dispatch note. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Calls routed. Calls recorded. Calls reviewed.,1200x628 landscape,Use wordmark top-left
VIS-141,Static quote card,Callback cost stack,"Stacked blocks: truck roll, tech time, customer trust, schedule capacity, margin. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",The dispatch room protects the P&L.,1080x1080 square,Keep headline under seven words
VIS-142,Carousel,Frontline layer,"ThermaForge wordmark on top, Frontline routing layer below, call log feeding review notes. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Do not let voicemail make dispatch decisions.,1080x1350 portrait,Add subtle copper rule
VIS-143,Reel/TikTok/Shorts,Weekly review board,"Operations board with columns: calls, booked jobs, callbacks, AR, open escalations. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Built for HVAC owners scaling toward the next chapter.,1080x1920 vertical,Use real shop B-roll
VIS-144,Founder POV video,Truck roll leakage,"Service truck photo with copper overlay showing wasted roll, lost slot, margin hit. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Find the leak before busy season does.,1200x628 landscape,Keep safe-zone clear for Reels
VIS-145,Google Business Profile image,Missed call math,"Show a copper phone icon, three missed-call rows, and a bottom line: calls do not wait for Monday. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Stronger Operations. Stronger Profits.,1080x1080 square,Use TF monogram bottom-right
VIS-146,LinkedIn document slide,First-call-recorded checklist,"Four checkboxes: routed, recorded, reviewed, booked. Use the TF monogram as a stamped approval mark. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Calls routed. Calls recorded. Calls reviewed.,1080x1350 portrait,Use wordmark top-left
VIS-147,Story frame,Dispatch leak diagram,"Simple flow from call to dispatch to invoice with a copper break point labeled leak. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",The dispatch room protects the P&L.,1080x1920 vertical,Keep headline under seven words
VIS-148,Retargeting ad visual,Owner bottleneck,"Owner silhouette at center with every arrow pointing to him; second frame shows rules and routing distributed. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Do not let voicemail make dispatch decisions.,1200x628 landscape,Add subtle copper rule
VIS-149,YouTube thumbnail,Emergency rules board,"No-heat, no-cool, warranty, VIP, after-hours shown as shop-board cards. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Built for HVAC owners scaling toward the next chapter.,1080x1080 square,Use real shop B-roll
VIS-150,Email header graphic,Recap diligence lens,"Dark table with diligence checklist: callbacks, AR, dispatch, owner dependency. Dark charcoal background, copper #D45506 accents, off-white text, real HVAC/shop-floor texture, serious operator tone, no cartoon style.",Find the leak before busy season does.,1080x1350 portrait,Keep safe-zone clear for Reels
