id,platform,objective,audience,headline,primary_text,description,cta_button,creative_brief,landing_page,utm_content_slug
AD-073,Meta Feed,Calls,HVAC owners $5M-$25M revenue,Stop losing booked HVAC work after hours.,"Send last week's missed calls. ThermaForge will show where calls leaked, what should have routed, and what to fix before the next busy week.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Get the missed-call review,Dark shop-floor photo with copper rule and TF monogram.,https://thermaforgepartners.com/apply,missed_call_audit-meta-feed-073
AD-074,Meta Reels,Lead form,HVAC GMs and ops managers,"Frontline call routing for HVAC shops, reviewed by operators.",Calls get answered. Recordings get reviewed. Dispatch rules get tightened. ThermaForge brings the HVAC operating context around the Frontline call coverage layer.,ThermaForge Partners. Stronger Operations. Stronger Profits.,Configure call coverage,"Dispatch desk close-up, call log blurred, copper headline overlay.",https://thermaforgepartners.com/onboarding,frontline_routing-meta-reels-074
AD-075,Facebook Lead Form,Website visits,Trade business owners near recap,Your dispatch room is either protecting margin or giving it back.,"ThermaForge reviews call flow, emergency rules, lead alerts, and booking outcomes so the owner can see where profit is slipping before month-end.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Book a dispatch review,Rooftop unit image graded charcoal with one large copper number.,https://thermaforgepartners.com/apply,dispatch_review-facebook-lead-form-075
AD-076,Instagram Stories,Retargeting,Website visitors 30 days,Do not call onboarding complete until the first call is recorded.,"A real setup means the call is routed, recorded, reviewed, and connected to a dispatch decision. ThermaForge runs the 24-hour review with Frontline monitoring.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Start onboarding,Founder face-to-camera still with wordmark lower-third.,https://thermaforgepartners.com/onboarding,first_call_recorded-instagram-stories-076
AD-077,LinkedIn Single Image,Video views,Lookalike of engaged owners,Recap-ready HVAC companies do not run on heroics.,"If the owner is still the only escalation path, diligence will notice. Build a cleaner operating rhythm before sale, recap, or succession pressure arrives.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Review recap readiness,"Checklist graphic: call routed, recorded, reviewed, booked.",https://thermaforgepartners.com/apply,recap_ops-linkedin-single-image-077
AD-078,LinkedIn Carousel,Quote requests,Local service business owners,No-heat and no-cool rules should be clear before the phone rings.,"ThermaForge documents emergency routing, VIP exceptions, warranty paths, and dispatch contacts before after-hours calls hit Frontline.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Tighten emergency routing,Before/after split: voicemail leak versus routed call.,https://thermaforgepartners.com/onboarding,emergency_rules-linkedin-carousel-078
AD-079,X Website Clicks,Calls,HVAC owners $5M-$25M revenue,Busy season should not be your first operating audit.,"Find the call-coverage gaps, dispatch friction, and callback patterns before volume makes them expensive.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Run the 24-hour review,Whiteboard math graphic showing call leak to booked-job impact.,https://thermaforgepartners.com/apply,busy_season-x-website-clicks-079
AD-080,YouTube Shorts,Lead form,HVAC GMs and ops managers,The owner should not be the only escalation path.,"ThermaForge helps HVAC owners build operating rhythm around the business so recap, sale, or succession conversations are not built on heroics.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Check owner dependency,Technician truck at dusk with copper caption band.,https://thermaforgepartners.com/onboarding,owner_exit-youtube-shorts-080
AD-081,Google Demand Gen,Website visits,Trade business owners near recap,Stop losing booked HVAC work after hours.,"Send last week's missed calls. ThermaForge will show where calls leaked, what should have routed, and what to fix before the next busy week.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Get the missed-call review,Dark shop-floor photo with copper rule and TF monogram.,https://thermaforgepartners.com/apply,missed_call_audit-google-demand-gen-081
AD-082,Retargeting,Retargeting,Website visitors 30 days,"Frontline call routing for HVAC shops, reviewed by operators.",Calls get answered. Recordings get reviewed. Dispatch rules get tightened. ThermaForge brings the HVAC operating context around the Frontline call coverage layer.,ThermaForge Partners. Stronger Operations. Stronger Profits.,Configure call coverage,"Dispatch desk close-up, call log blurred, copper headline overlay.",https://thermaforgepartners.com/onboarding,frontline_routing-retargeting-082
AD-083,Nextdoor Sponsored Post,Video views,Lookalike of engaged owners,Your dispatch room is either protecting margin or giving it back.,"ThermaForge reviews call flow, emergency rules, lead alerts, and booking outcomes so the owner can see where profit is slipping before month-end.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Book a dispatch review,Rooftop unit image graded charcoal with one large copper number.,https://thermaforgepartners.com/apply,dispatch_review-nextdoor-sponsored-post-083
AD-084,Google Business Profile Update,Quote requests,Local service business owners,Do not call onboarding complete until the first call is recorded.,"A real setup means the call is routed, recorded, reviewed, and connected to a dispatch decision. ThermaForge runs the 24-hour review with Frontline monitoring.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Start onboarding,Founder face-to-camera still with wordmark lower-third.,https://thermaforgepartners.com/onboarding,first_call_recorded-google-business-profile-update-084
AD-085,Meta Feed,Calls,HVAC owners $5M-$25M revenue,Recap-ready HVAC companies do not run on heroics.,"If the owner is still the only escalation path, diligence will notice. Build a cleaner operating rhythm before sale, recap, or succession pressure arrives.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Review recap readiness,"Checklist graphic: call routed, recorded, reviewed, booked.",https://thermaforgepartners.com/apply,recap_ops-meta-feed-085
AD-086,Meta Reels,Lead form,HVAC GMs and ops managers,No-heat and no-cool rules should be clear before the phone rings.,"ThermaForge documents emergency routing, VIP exceptions, warranty paths, and dispatch contacts before after-hours calls hit Frontline.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Tighten emergency routing,Before/after split: voicemail leak versus routed call.,https://thermaforgepartners.com/onboarding,emergency_rules-meta-reels-086
AD-087,Facebook Lead Form,Website visits,Trade business owners near recap,Busy season should not be your first operating audit.,"Find the call-coverage gaps, dispatch friction, and callback patterns before volume makes them expensive.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Run the 24-hour review,Whiteboard math graphic showing call leak to booked-job impact.,https://thermaforgepartners.com/apply,busy_season-facebook-lead-form-087
AD-088,Instagram Stories,Retargeting,Website visitors 30 days,The owner should not be the only escalation path.,"ThermaForge helps HVAC owners build operating rhythm around the business so recap, sale, or succession conversations are not built on heroics.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Check owner dependency,Technician truck at dusk with copper caption band.,https://thermaforgepartners.com/onboarding,owner_exit-instagram-stories-088
AD-089,LinkedIn Single Image,Video views,Lookalike of engaged owners,Stop losing booked HVAC work after hours.,"Send last week's missed calls. ThermaForge will show where calls leaked, what should have routed, and what to fix before the next busy week.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Get the missed-call review,Dark shop-floor photo with copper rule and TF monogram.,https://thermaforgepartners.com/apply,missed_call_audit-linkedin-single-image-089
AD-090,LinkedIn Carousel,Quote requests,Local service business owners,"Frontline call routing for HVAC shops, reviewed by operators.",Calls get answered. Recordings get reviewed. Dispatch rules get tightened. ThermaForge brings the HVAC operating context around the Frontline call coverage layer.,ThermaForge Partners. Stronger Operations. Stronger Profits.,Configure call coverage,"Dispatch desk close-up, call log blurred, copper headline overlay.",https://thermaforgepartners.com/onboarding,frontline_routing-linkedin-carousel-090
AD-091,X Website Clicks,Calls,HVAC owners $5M-$25M revenue,Your dispatch room is either protecting margin or giving it back.,"ThermaForge reviews call flow, emergency rules, lead alerts, and booking outcomes so the owner can see where profit is slipping before month-end.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Book a dispatch review,Rooftop unit image graded charcoal with one large copper number.,https://thermaforgepartners.com/apply,dispatch_review-x-website-clicks-091
AD-092,YouTube Shorts,Lead form,HVAC GMs and ops managers,Do not call onboarding complete until the first call is recorded.,"A real setup means the call is routed, recorded, reviewed, and connected to a dispatch decision. ThermaForge runs the 24-hour review with Frontline monitoring.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Start onboarding,Founder face-to-camera still with wordmark lower-third.,https://thermaforgepartners.com/onboarding,first_call_recorded-youtube-shorts-092
AD-093,Google Demand Gen,Website visits,Trade business owners near recap,Recap-ready HVAC companies do not run on heroics.,"If the owner is still the only escalation path, diligence will notice. Build a cleaner operating rhythm before sale, recap, or succession pressure arrives.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Review recap readiness,"Checklist graphic: call routed, recorded, reviewed, booked.",https://thermaforgepartners.com/apply,recap_ops-google-demand-gen-093
AD-094,Retargeting,Retargeting,Website visitors 30 days,No-heat and no-cool rules should be clear before the phone rings.,"ThermaForge documents emergency routing, VIP exceptions, warranty paths, and dispatch contacts before after-hours calls hit Frontline.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Tighten emergency routing,Before/after split: voicemail leak versus routed call.,https://thermaforgepartners.com/onboarding,emergency_rules-retargeting-094
AD-095,Nextdoor Sponsored Post,Video views,Lookalike of engaged owners,Busy season should not be your first operating audit.,"Find the call-coverage gaps, dispatch friction, and callback patterns before volume makes them expensive.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Run the 24-hour review,Whiteboard math graphic showing call leak to booked-job impact.,https://thermaforgepartners.com/apply,busy_season-nextdoor-sponsored-post-095
AD-096,Google Business Profile Update,Quote requests,Local service business owners,The owner should not be the only escalation path.,"ThermaForge helps HVAC owners build operating rhythm around the business so recap, sale, or succession conversations are not built on heroics.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Check owner dependency,Technician truck at dusk with copper caption band.,https://thermaforgepartners.com/onboarding,owner_exit-google-business-profile-update-096
AD-097,Meta Feed,Calls,HVAC owners $5M-$25M revenue,Stop losing booked HVAC work after hours.,"Send last week's missed calls. ThermaForge will show where calls leaked, what should have routed, and what to fix before the next busy week.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Get the missed-call review,Dark shop-floor photo with copper rule and TF monogram.,https://thermaforgepartners.com/apply,missed_call_audit-meta-feed-097
AD-098,Meta Reels,Lead form,HVAC GMs and ops managers,"Frontline call routing for HVAC shops, reviewed by operators.",Calls get answered. Recordings get reviewed. Dispatch rules get tightened. ThermaForge brings the HVAC operating context around the Frontline call coverage layer.,ThermaForge Partners. Stronger Operations. Stronger Profits.,Configure call coverage,"Dispatch desk close-up, call log blurred, copper headline overlay.",https://thermaforgepartners.com/onboarding,frontline_routing-meta-reels-098
AD-099,Facebook Lead Form,Website visits,Trade business owners near recap,Your dispatch room is either protecting margin or giving it back.,"ThermaForge reviews call flow, emergency rules, lead alerts, and booking outcomes so the owner can see where profit is slipping before month-end.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Book a dispatch review,Rooftop unit image graded charcoal with one large copper number.,https://thermaforgepartners.com/apply,dispatch_review-facebook-lead-form-099
AD-100,Instagram Stories,Retargeting,Website visitors 30 days,Do not call onboarding complete until the first call is recorded.,"A real setup means the call is routed, recorded, reviewed, and connected to a dispatch decision. ThermaForge runs the 24-hour review with Frontline monitoring.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Start onboarding,Founder face-to-camera still with wordmark lower-third.,https://thermaforgepartners.com/onboarding,first_call_recorded-instagram-stories-100
AD-101,LinkedIn Single Image,Video views,Lookalike of engaged owners,Recap-ready HVAC companies do not run on heroics.,"If the owner is still the only escalation path, diligence will notice. Build a cleaner operating rhythm before sale, recap, or succession pressure arrives.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Review recap readiness,"Checklist graphic: call routed, recorded, reviewed, booked.",https://thermaforgepartners.com/apply,recap_ops-linkedin-single-image-101
AD-102,LinkedIn Carousel,Quote requests,Local service business owners,No-heat and no-cool rules should be clear before the phone rings.,"ThermaForge documents emergency routing, VIP exceptions, warranty paths, and dispatch contacts before after-hours calls hit Frontline.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Tighten emergency routing,Before/after split: voicemail leak versus routed call.,https://thermaforgepartners.com/onboarding,emergency_rules-linkedin-carousel-102
AD-103,X Website Clicks,Calls,HVAC owners $5M-$25M revenue,Busy season should not be your first operating audit.,"Find the call-coverage gaps, dispatch friction, and callback patterns before volume makes them expensive.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Run the 24-hour review,Whiteboard math graphic showing call leak to booked-job impact.,https://thermaforgepartners.com/apply,busy_season-x-website-clicks-103
AD-104,YouTube Shorts,Lead form,HVAC GMs and ops managers,The owner should not be the only escalation path.,"ThermaForge helps HVAC owners build operating rhythm around the business so recap, sale, or succession conversations are not built on heroics.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Check owner dependency,Technician truck at dusk with copper caption band.,https://thermaforgepartners.com/onboarding,owner_exit-youtube-shorts-104
AD-105,Google Demand Gen,Website visits,Trade business owners near recap,Stop losing booked HVAC work after hours.,"Send last week's missed calls. ThermaForge will show where calls leaked, what should have routed, and what to fix before the next busy week.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Get the missed-call review,Dark shop-floor photo with copper rule and TF monogram.,https://thermaforgepartners.com/apply,missed_call_audit-google-demand-gen-105
AD-106,Retargeting,Retargeting,Website visitors 30 days,"Frontline call routing for HVAC shops, reviewed by operators.",Calls get answered. Recordings get reviewed. Dispatch rules get tightened. ThermaForge brings the HVAC operating context around the Frontline call coverage layer.,ThermaForge Partners. Stronger Operations. Stronger Profits.,Configure call coverage,"Dispatch desk close-up, call log blurred, copper headline overlay.",https://thermaforgepartners.com/onboarding,frontline_routing-retargeting-106
AD-107,Nextdoor Sponsored Post,Video views,Lookalike of engaged owners,Your dispatch room is either protecting margin or giving it back.,"ThermaForge reviews call flow, emergency rules, lead alerts, and booking outcomes so the owner can see where profit is slipping before month-end.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Book a dispatch review,Rooftop unit image graded charcoal with one large copper number.,https://thermaforgepartners.com/apply,dispatch_review-nextdoor-sponsored-post-107
AD-108,Google Business Profile Update,Quote requests,Local service business owners,Do not call onboarding complete until the first call is recorded.,"A real setup means the call is routed, recorded, reviewed, and connected to a dispatch decision. ThermaForge runs the 24-hour review with Frontline monitoring.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Start onboarding,Founder face-to-camera still with wordmark lower-third.,https://thermaforgepartners.com/onboarding,first_call_recorded-google-business-profile-update-108
AD-109,Meta Feed,Calls,HVAC owners $5M-$25M revenue,Recap-ready HVAC companies do not run on heroics.,"If the owner is still the only escalation path, diligence will notice. Build a cleaner operating rhythm before sale, recap, or succession pressure arrives.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Review recap readiness,"Checklist graphic: call routed, recorded, reviewed, booked.",https://thermaforgepartners.com/apply,recap_ops-meta-feed-109
AD-110,Meta Reels,Lead form,HVAC GMs and ops managers,No-heat and no-cool rules should be clear before the phone rings.,"ThermaForge documents emergency routing, VIP exceptions, warranty paths, and dispatch contacts before after-hours calls hit Frontline.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Tighten emergency routing,Before/after split: voicemail leak versus routed call.,https://thermaforgepartners.com/onboarding,emergency_rules-meta-reels-110
AD-111,Facebook Lead Form,Website visits,Trade business owners near recap,Busy season should not be your first operating audit.,"Find the call-coverage gaps, dispatch friction, and callback patterns before volume makes them expensive.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Run the 24-hour review,Whiteboard math graphic showing call leak to booked-job impact.,https://thermaforgepartners.com/apply,busy_season-facebook-lead-form-111
AD-112,Instagram Stories,Retargeting,Website visitors 30 days,The owner should not be the only escalation path.,"ThermaForge helps HVAC owners build operating rhythm around the business so recap, sale, or succession conversations are not built on heroics.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Check owner dependency,Technician truck at dusk with copper caption band.,https://thermaforgepartners.com/onboarding,owner_exit-instagram-stories-112
AD-113,LinkedIn Single Image,Video views,Lookalike of engaged owners,Stop losing booked HVAC work after hours.,"Send last week's missed calls. ThermaForge will show where calls leaked, what should have routed, and what to fix before the next busy week.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Get the missed-call review,Dark shop-floor photo with copper rule and TF monogram.,https://thermaforgepartners.com/apply,missed_call_audit-linkedin-single-image-113
AD-114,LinkedIn Carousel,Quote requests,Local service business owners,"Frontline call routing for HVAC shops, reviewed by operators.",Calls get answered. Recordings get reviewed. Dispatch rules get tightened. ThermaForge brings the HVAC operating context around the Frontline call coverage layer.,ThermaForge Partners. Stronger Operations. Stronger Profits.,Configure call coverage,"Dispatch desk close-up, call log blurred, copper headline overlay.",https://thermaforgepartners.com/onboarding,frontline_routing-linkedin-carousel-114
AD-115,X Website Clicks,Calls,HVAC owners $5M-$25M revenue,Your dispatch room is either protecting margin or giving it back.,"ThermaForge reviews call flow, emergency rules, lead alerts, and booking outcomes so the owner can see where profit is slipping before month-end.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Book a dispatch review,Rooftop unit image graded charcoal with one large copper number.,https://thermaforgepartners.com/apply,dispatch_review-x-website-clicks-115
AD-116,YouTube Shorts,Lead form,HVAC GMs and ops managers,Do not call onboarding complete until the first call is recorded.,"A real setup means the call is routed, recorded, reviewed, and connected to a dispatch decision. ThermaForge runs the 24-hour review with Frontline monitoring.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Start onboarding,Founder face-to-camera still with wordmark lower-third.,https://thermaforgepartners.com/onboarding,first_call_recorded-youtube-shorts-116
AD-117,Google Demand Gen,Website visits,Trade business owners near recap,Recap-ready HVAC companies do not run on heroics.,"If the owner is still the only escalation path, diligence will notice. Build a cleaner operating rhythm before sale, recap, or succession pressure arrives.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Review recap readiness,"Checklist graphic: call routed, recorded, reviewed, booked.",https://thermaforgepartners.com/apply,recap_ops-google-demand-gen-117
AD-118,Retargeting,Retargeting,Website visitors 30 days,No-heat and no-cool rules should be clear before the phone rings.,"ThermaForge documents emergency routing, VIP exceptions, warranty paths, and dispatch contacts before after-hours calls hit Frontline.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Tighten emergency routing,Before/after split: voicemail leak versus routed call.,https://thermaforgepartners.com/onboarding,emergency_rules-retargeting-118
AD-119,Nextdoor Sponsored Post,Video views,Lookalike of engaged owners,Busy season should not be your first operating audit.,"Find the call-coverage gaps, dispatch friction, and callback patterns before volume makes them expensive.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Run the 24-hour review,Whiteboard math graphic showing call leak to booked-job impact.,https://thermaforgepartners.com/apply,busy_season-nextdoor-sponsored-post-119
AD-120,Google Business Profile Update,Quote requests,Local service business owners,The owner should not be the only escalation path.,"ThermaForge helps HVAC owners build operating rhythm around the business so recap, sale, or succession conversations are not built on heroics.",ThermaForge Partners. Stronger Operations. Stronger Profits.,Check owner dependency,Technician truck at dusk with copper caption band.,https://thermaforgepartners.com/onboarding,owner_exit-google-business-profile-update-120
